"iteration","revenue"
"1","3238.77"
"2","3238.77"
"3","3465.42"
"4","3465.42"
"5","3540.88"
"6","3540.88"
"7","3592.17"
"8","3592.17"
"9","3592.17"
"10","3638.05"
"11","3638.05"
"12","3638.05"
"13","3671.95"
"14","3671.95"
"15","3705.33"
"16","3705.33"
"17","3705.33"
"18","3705.33"
"19","3722.4"
"20","3722.4"
"21","3739.33"
"22","3739.33"
"23","3739.33"
"24","3753.66"
"25","3753.66"
"26","3753.66"
"27","3765.47"
"28","3765.47"
"29","3770.0"
"30","3770.0"
"31","3770.0"
"32","3770.0"
"33","3770.0"
"34","3773.83"
"35","3773.83"
"36","3777.59"
"37","3777.59"
"38","3777.59"
"39","3779.13"
"40","3779.13"
"41","3779.13"
"42","3779.13"
"43","3779.13"
"44","3779.13"
"45","3779.13"
"46","3779.13"
"47","3779.13"
"48","3779.13"
"49","3779.13"
"50","3779.13"
"51","3779.13"
"52","3779.13"
"53","3783.57"
"54","3783.57"
"55","3791.11"
"56","3791.11"
"57","3791.11"
"58","3791.48"
"59","3791.48"
"60","3791.48"
"61","3791.48"
"62","3791.48"
"63","3791.48"
"64","3791.48"
"65","3791.48"
"66","3791.48"
"67","3791.48"
"68","3791.48"
"69","3791.48"
"70","3791.48"
"71","3791.48"
"72","3791.48"
"73","3791.48"
"74","3791.48"
"75","3791.48"
"76","3791.48"
"77","3791.48"
"78","3791.48"
"79","3791.48"
"80","3791.48"
"81","3791.48"
"82","3791.48"
"83","3791.48"
"84","3791.48"
"85","3791.48"
"86","3791.48"
"87","3791.48"
"88","3791.48"
"89","3791.48"
"90","3791.48"
"91","3791.48"
"92","3791.48"
"93","3791.48"
"94","3791.48"
"95","3791.48"
"96","3791.48"
"97","3791.48"
"98","3791.48"
"99","3791.48"
"100","3791.48"
